제목,내용,평점,좋아요 수
메이드 인 루프탑,체화되지 않은 상큼함.,2.5,60
블랙 위도우,굴레에서 벗어나 이름을 되찾는 연대의 불꽃은 극 초반 옥사나의 숭고한 최후에서 처음 피어올랐다.,3.0,508
트립 투 그리스,소소한 행복감을 계속 선사했던 지적인 시리즈를 그리스에서 제대로 마무리한다.,3.5,60
학교 가는 길,더이상 아무도 절박함에 무릎 꿇지 않도록 하는 세상이 오기를  간절히.,3.0,89
웬디,오래된 동화가 늙는다는 것의 이면을 문명의 저편에서 새롭게 바라본다.,3.0,69
흩어진 밤,"정곡을 찌르는 아이들, 쩔쩔매는 부모들, 대화하면서 뭔가 하고 있는 설정들이 그저 반복된다.",2.5,62
루카,미야자키 하야오에 대한 픽사의 정감 넘치는 화답.,3.5,342
"그 여름, 가장 차가웠던",과거의 사건 하나로 내내 현재를 밀고 가다가 힘에 부친다.,2.5,66
클라이밍,기술적 한계 사이로 상상력의 한계가 종종 드러난다.,2.5,59
캐시트럭: 그 남자의 분노,다 보고나면 간 폐 비장 심장의 순서까지 외우게 된다.,3.0,266
낫아웃,그 아이의 절박함이 내내 생생하고 쓰린다.,3.5,114
애플,망각이 병인 세상에서 기억을 앓는 자의 깊숙한 환부.,4.0,188
크루엘라,맵시 있게 변주된 캐릭터가 열정과 냉정 사이의 런웨이를 화려하게 누빈다.,3.0,429
인트로덕션,말하지 못한 것 말할 수 없는 것 불쑥 말해버린 것을 감싸 안는 세 번의 포옹으로 구두점을 미루며 다음 세대를 바라보다.,3.5,164
보이저스,'파리대왕'의 설정을 우주로 옮긴 후 내내 서성댄다.,2.5,88
분노의 질주: 더 얼티메이트,브레이크를 밟지 않고 마냥 팽창하는 시리즈가 끝내  내달릴 곳은 선사시대? 사후세계? 꿈 속?,3.0,237
"쿠오바디스, 아이다",이 절박한 이야기에서 아이다에게 어디로 가냐고 한가롭게 묻다가 고개를 떨궈야 할 자는 바깥 세계.,4.0,136
슈퍼노바,사라지는 모든 것들은 잊지 못할 빛을 남긴다고 기어이 믿고 싶다.,2.5,89
내가 죽기를 바라는 자들,"살리기 전문가들과 죽이기 전문가들의 간명한 대결, 어떤 방향을 향할 것인가.",3.5,130
아이들은 즐겁다,아이의 시선을 상상할 때 찾아드는 평화.,3.0,88
더 스파이,속고 속이는 첩보의 세계에서 믿음으로 내뻗는 손이 전하는 역설적 감동.,3.5,168
"좋은 빛, 좋은 공기",그 푸르른 쑥갓과 그 힘찬 두꺼비들까지 함께 불러와서 기억한다.,3.5,68
유다 그리고 블랙 메시아,"이 장중한 영화에서 다니엘 칼루야만큼이나 러키스 스탠필드도 훌륭하다, 어쩌면 더.",3.5,150
"무순, 세상을 가로질러",걷거나 뛰어야만 경험할 수 있는 세상이 있다.,2.5,60
노매드랜드,되돌아가 같은 곳을 두 번째 떠나고서야 홀로 서게 된 자의 자욱한 여로.,4.0,600
레 미제라블,두 마리의 새끼 사자를 어찌할 것인지 시종 폭풍처럼 몰아친다.,5.0,290
서복,물어야 할 타이밍이어서 굳이 묻는 질문들.,2.5,259
더 파더,받아들일 수 없는 현실에서 벗어나려 발버둥치는 자의 심리가 끊임없이 되먹임되는 독창적 플롯의 페이소스.,4.5,382
낙원의 밤,"발이 땅에 붙지 않는 비장미, 임팩트 있는 대사에 대한 조급증.",2.5,304
비밀의 정원,캐묻지 않고도 함께 시간 속을 걸어갈 수 있는 마음에 대하여.,3.0,96
아무도 없는 곳,잘 만들어서 믿게 되는 귀한 이야기들을 들었다.,3.5,213
자산어보,재료를 잘 알고서 담백하고 든든하게 끓여낸 생선국을 대접 받은 듯.,3.5,448
스파이의 아내,믿을 수밖에 없어서 적극적으로 믿었던 자 혹은 국민이 목도한 폐허.,4.0,230
인천스텔라,어이 없을 정도로 뻔뻔한데 가끔씩 사랑스럽기도 하다.,2.5,86
모리타니안,인권은 대상에 따른 예외가 없다는 것을 강력하게 설득한다.,3.5,148
파이터,배우의 호연에도 불구하고 클로즈업 쇼트들이 긴 지속시간을 버텨내지 못한다.,2.5,68
정말 먼 곳,인간사 그 모든 번민을 다 품어줄 것 같은 풍광.,3.0,96
포제서,나로 내세우고 싶은 나와 속에서 거칠게 숨쉬는 나 사이의 섬뜩한 파찰음.,4.0,129
미나리,미나리라는 단어가 흡사 간절한 기도문처럼 들린다.,3.5,773
밤빛,느릿느릿 흐르는 그 슬픈 평화.,3.0,74
고백,메시지가 영화를 구하진 못한다.,2.0,100
빛과 철,"저마다의 복합적 입장을 담은 고밀도 화법, 아쉬가르 파라디가 한국영화를 만든다면.",3.5,143
미션 파서블,몇 번 웃기 위해 몇십 번 헛웃어야 한다면.,2.0,137
퍼펙트 케어,누아르의 전형적 팜므 파탈에 대한 현대적 캐릭터의 일갈.,3.0,149
아이,눈길을 끄는 설정과 호연으로 차근차근 오르다가 한꺼번에 추락한다.,2.5,93
페어웰,마음 속 외로운 새를 어떻게 날려보내어 안녕을 고할 것인가.,3.5,151
승리호,기술적 성취를 가리는 몰개성의 작법.,2.5,973
세자매,문소리는 탁월하고 김선영은 굉장하며 장윤주는 놀랍다.,3.5,604
극장판 귀멸의 칼날: 무한열차편,"갈아만든 액션, 실로 진하다.",3.5,765
나는 나를 해고하지 않는다,직설적이고 결연한 제목에 걸맞다.,3.0,88
소울,이제껏 22편을 만든 픽사가 재발견한 일상이라는 불꽃의 바다.,4.5,3312
"오늘, 우리 2","리얼리티와 메타포를 능숙하게 조화시킨 '낙과', 캐릭터가 신선한 '갓건담'.",2.5,67
요요현상,관람 후 나의 요요를 떠올리는 순간 몰려오는 안개와 바람.,3.0,72
블라인드,촉각의 로맨티시즘.,3.0,116
완벽한 가족,재치를 부리고 굴곡을 넣느라 논쟁적 사안에 대한 제언의 힘이 약화됐다.,2.5,62
나이팅게일,참혹한 제노사이드 역사를 노골적으로 묘사하고 직접적으로 고발한다.,2.5,68
운디네,상실된 사랑과 소실된 역사를 신비로운 물의 감촉으로 고쳐 쓴다.,4.0,181
원더 우먼 1984,고개를 끄덕이면서도 언제 훈시가 끝날지 계속 시계를 힐끔거렸던 오래 전 조회시간처럼.,2.0,388
썸머 85,미스터리를 중심 동력으로 삼을 필요가 없었던 이야기.,2.5,95
겨울밤에,"상실의 계절, 겨울의 환(幻).",3.5,65
조제,위태로운 사랑의 존재론을 산발적인 감정의 풍경화로 대체한 리메이크.,2.5,164
이제 그만 끝낼까 해,파리하게 회귀하는 강박과 슬픔 끝에 눅눅한 구두점을 향하여.,5.0,325
언컷 젬스,오늘만 사는 자의 악다구니만으로 온통 들끓어 오르는 작품을 만들었다.,4.5,363
딕 존슨이 죽었습니다,자신의 죽음으로 계속 농담할 줄 아는 사람이 주는 위안.,4.0,148
잔칫날,고단한 삶의 극심한 아이러니 속에서도 상투성의 함정에 빠지지 않고 먹먹하게.,3.5,127
럭키 몬스터,참신한  착상을 밀고 나갈 자신만의 스타일을 갖췼다.,3.5,102
내언니전지현과 나,한국사회에 대한 알레고리로서나 변화를 일궈낸 우정의 이야기로서 모두 인상적.,3.0,109
그리고 우린 춤을 추었다,맨 뒤에 뜨는 제목까지 접하고나면 마지막 자유로운 독무는 결국 뜨거운 2인무.,3.5,105
콜,"그 광기, 그 독기, 그 한기, 그 똘끼의 전종서.",3.0,562
안티고네,신화적으로 풍성하고 윤리적으로 꼿꼿하다.,3.5,123
맹크,영화는 타협의 예술이지만 예술가에겐 물러서지 말아야 할 지점이 있다는 다짐.,4.0,290
런,한정적으로 설정한 뒤 구석구석 찔러가며 깔끔하게 득점한다.,3.0,298
킹덤 오브 헤븐,"공존 자체를 거부하면 ""아무 것도 아니""지만 공존의 윤리를 받아들이면 모두에게 ""전부""가 되는 그때 그 예루살렘, 지금 이 세계. (감독판)",4.0,272
구직자들,미처 영화 속으로 스며들지 못한 그 많은 대사들.,2.0,63
걸후드,주저하지 않는 셀린 시아마 영화의 힘.,3.5,111
마틴 에덴,사랑이야말로 철저히 계급의 장력에 지배된다는 것을 드러내는 통찰과 기품.,4.0,204
젊은이의 양지,질식할 것 같은 세상이 그저 질식할 것 같은 화법에 담겼다.,2.5,67
베이비티스,비극 앞에서 모두가 똑같은 방식으로 슬퍼해야 하는 건 아니에요.,3.5,161
삼진그룹 영어토익반,묵직한 소재를 깔끔하고 산뜻하게 다룰 줄 아는 감각.,3.0,716
소리도 없이,장르의 관습에 발목 잡히지 않은 채 자신만의 보법으로 신선하게 걷는다.,3.5,458
우리가 이별 뒤에 알게 되는 것들,눈길을 끄는 설정을 감당하지 못하는 평범한 작법.,2.5,63
담보,명절에는 이런 영화면 된다는 낡은 생각.,2.0,460
국제수사,능력 있는 배우들이 모여도 한숨 나오는 영화가 나올 수 있다는 안타까운 증거.,1.5,311
디바,흥미진진한 관계를 그저 펼쳐내기에만 급급한 스토리텔링.,2.5,115
다시 만난 날들,풋풋하고 고운 감성이 지나치게 관습적인 이야기의 틀에 갇혔다.,2.5,69
뮬란,'매직'이 다 빠져서 맹탕이 되었다.,2.0,258
도망친 여자,중심에 구멍을 낸 뒤 사건의 뒤안길에서 일렁이는 마음의 그림자를 물끄러미 들여다본다.,4.0,171
테스와 보낸 여름,아픔을 딛고 추억을 빚으며 세상 구석구석에서 아이들이 자란다.,3.0,116
뉴 뮤턴트,장르의 접합에서 새로운 활력을 전혀 끌어내지 못하고 제목에만 'new'를 넣었다.,1.5,170
오! 문희,배우와 기획만 있었을 뿐.,2.0,112
후쿠오카,경계를 문질러 홀리게 하는 몽유의 순간들.,3.0,105
테넷,이토록 복잡한 플롯을 시각적이고 지적인 쾌감으로 전달해내는 놀런의 고유성.,3.5,780
남매의 여름밤,눈 앞에서 유년기의 어느 계절이 절실하게 흘러간다.,4.0,503
69세,논점을 명확히 파고들면서 사려 깊은 태도도 잃지 않는 연출의 신뢰감.,3.5,174
오케이 마담,내내 터지는 웃음이 아니라 종종 새는 웃음.,2.5,242
반교: 디텐션,품이 넓어서 더욱 슬픈 호러의 긴 여운.,3.5,163
다만 악에서 구하소서,확고하게 관철해낸 스타일로 의문들을 잠재운다.,3.0,376
주식회사 스페셜액터스,연기와 인생이 서로를 어떻게 일으켜 세우는지를 어이없으면서도 사랑스런 유머에 담아낸다.,3.5,118
카메라를 멈추면 안 돼!,한 편의 영화를 완성하기 위한 그   모든 땀과 눈물에 바치는 (웃다가 턱이 빠질) 연서.,4.5,630
메멘토,홀린 듯 사로잡히게 되는 구조의 마력.,4.5,352
소년 아메드,무력감을 넘어서 그 여린 손에 무엇을 쥐어줄 것인가.,4.0,166
강철비2: 정상회담,논쟁에 불을 당기는 거대한 이야기를 야심과 직설로 힘차게 펼친다.,3.0,245
마티아스와 막심,"모든 좋은 관계엔 좋은 우정이 있다, 그게 사랑이라도.",3.5,313
블루 아워,흥미로운 에피소드들을 모았는데 흥미롭지 못한 영화 한 편이 나오게 된 경우.,2.5,106
반도,"좀비는 그저 환경일 뿐, 절망적인 땅에서 고립되어 미쳐가는 자들과 희망을 함께 발명하는 자들의 대비를 인상적으로 펼쳐낸다.",3.0,479
그레텔과 헨젤,화려한 그릇에 빈약한 요리를 담았다.,2.5,71
소년시절의 너,세상 끝까지 지켜줄 단 한 사람에 대한 감상적 판타지에 숨결을 불어넣은 주동우.,3.0,474
밤쉘: 세상을 바꾼 폭탄선언,용기있는 첫번째 목소리도 소중하지만 그에 연대하는 두번째 목소리도 절실하다.,3.0,571
트랜짓,떠난  자와 남겨진 자의 기억 사이에서 유령처럼 혼곤한 배회.,4.0,176
욕창,한국 가족제도 속 전형적 딜레마에 빠진 노년의 나날을 깊고 생생히 다룬다.,3.5,80
#살아있다,'부산행' 이후만 해도 우리가 본 좀비영화가 몇 편인데 이렇게 편의적으로만.,2.0,678
부력,참혹한 소재가 알리는 현실이 연출의 공력을 압도한다.,3.0,105
사라진 시간,내가 아닌 나로 살아가야 하는 나날의 아픔.,3.0,213
야구소녀,"온 세상이 한 소녀의 꿈을 응원하는 얘기가 아니라, 꿋꿋이 길을 가는 한 사람이 주변을 변화시키는 얘기.",3.0,538
결백,무슨 말을 꺼내도 결국엔 또 쥐어짜는 사모곡.,2.0,230
환상의 마로나,"내내 미안해, 그저 고마워.",4.0,240
에어로너츠,공간적 제한을 창의적으로 돌파해내는 순간이 끝내 도래하지 않는다.,2.5,96
프랑스여자,희박하지만 질긴 기억 속에서 끝없이 표류하는 경계인의 초상.,3.5,114
침입자,솔깃한 문제를 던지고나서 허탈한 답을 쥐어준다.,2.5,179
더 플랫폼,크고 뻔한 절망들 뒤의 작지만 뻔하지 않은 희망을 찾아서.,4.0,292
톰보이,그 여름의 탐색과 성장을 한 호흡에 담아 관통한다.,3.5,192
사냥의 시간,결국 이곳밖에 없다는 서스펜스.,3.0,205
너의 새는 노래할 수 있어,여린 목소리로 끊길 듯 노래하는 작은 새처럼.,3.0,85
페인티드 버드,일단 다른 색깔을 칠해버리기만 하면 뚝딱 생겨나는 지옥에 대하여.,3.5,101
주디,르네 젤웨거의 모든 것.,3.0,186
다크 워터스,일순간 진격하는 자가 아니라 세월 앞에서 물러서지 않는 자에게 경의를.,3.5,315
찬실이는 복도 많지,웃을 일 적은 세상에 이 사랑스러운 영화가 전하는 작은 복.,3.5,523
빈폴,전쟁과 삶의 상흔을 여성의 얼굴로 깊숙이 들여다본다.,3.5,96
1917,지도보기도 못하면서 우연히 피택된 자가 계속 길을 가려면 끊임없이 물을 수밖에 없다.,4.0,1729
문신을 한 신부님,성과 속의 경계선에서 공동체의 딜레마와 인간의 모순을 깊숙이 들여다본다.,3.5,167
작은 아씨들,"시대적 한계로 타협했던 원작 결말의 본뜻을 되살려낸, 원작자 올컷보다 더 올컷같은 재해석.",3.5,1435
조조 래빗,콧날이 시큰한데도 어느새 미소를 머금고 고갯짓을 하게 된다.,3.5,827
페인 앤 글로리,가장 아프게  하는 것은 가장 사랑하는 것이다.,4.0,462
성혜의 나라,햇살 속으로 들어서야 할 세대에게 흑백으로 음울한 그늘을 얹어주는 그 나라.,3.0,102
스파이 지니어스,능란하게 완급을 전환하는 리듬이 즐겁다.,3.0,118
사마에게,완성 자체가 희망처럼 보이는 영화가 있다.,4.0,561
작은빛,극중 인물들이 그 공간에서 실제 오랫동안 살아온 것처럼 보인다.,3.0,90
남산의 부장들,건조한 연출의 바탕 위에서 일급배우들의 화려한 연기 테크닉이 빛을 발한다.,3.0,769
신의 은총으로,'신의 은총으로'라는 말 뒤에 숨은  인간의 악행을 향한 서릿발 같은 분노.,3.0,114
타오르는 여인의 초상,"서로를 응시하는 시선으로 선연하게 타오르는, 영화 자체가 아름다운 불꽃같다.",5.0,1343
차일드 인 타임,잃어버린 자식에 대한 비통한 이야기라기보단 상실한 유년성에 관한 신비로운 이야기.,3.0,114
스타워즈: 라이즈 오브 스카이워커,결국 제각각 따로 놀게 된 지그재그 3부작의 지리멸렬 피날레.,2.5,348
디어스킨,저 세상 유머감각과 전방위적 풍자로 시침 뚝 떼고 내달린다.,3.5,124
파바로티,낙천성은 예술에 어떻게 기여하는가.,3.0,83
천문: 하늘에 묻는다,두 배우의 다감한 연기만큼은 인상 깊었지만.,2.5,287
캣츠,왜 영화였을까.,1.5,552
"고흐, 영원의 문에서",흩뜨리고 흔들어 상상해보는 고흐의 마지막 시선들.,3.0,136
백두산,초반 잠시 반짝한 뒤 내내 우왕좌왕.,2.0,327
두 교황,불완전한  언어에 은총이 깃드는 순간들.,3.5,282
파비안느에 관한 진실,삶은 끊임없이  고쳐 써야 하는 자서전 같은 것.,4.0,401
나이브스 아웃,정신 바짝  차리고  보아야  할 후더닛무비의 짝짝  달라붙는  재미.,4.0,970
포드 V 페라리,"뛰어난 자동차경주 영화면서, 결국 본성을  찾아가는 자와 마침내  본성을 바꾸는 자가 그려내는 감동적인 쌍곡선 휴먼드라마.",4.5,1271
결혼 이야기,위트 넘치는 터치로 끝내 사무친다.,4.0,685
나를 찾아줘,해야될 것 같은 이야기와 하고 싶은 이야기가 뒤엉킨 듯 보인다.,2.0,190
오피셜 시크릿,신념의 궤적을 장식없이 또박또박 밟아나간다.,3.0,92
아이리시맨,마틴 스콜세지의 21세기 최고작.  위대한 영화인들이 모여 기대를 제대로 충족시킨다.,5.0,648
겨울왕국 2,"화려하고 아름다우며 바르다, 전편처럼.",3.5,592
코끼리는 그 곳에 있어,놀랍고도 절실한 데뷔작을 유작으로 만나야 하는 안타까움.,4.0,164
시빌,그렇게 격렬한데 이렇게나 허망한.,2.5,79
윤희에게,은은한 향기가 영화 내내 감돈다.,3.5,784
닥터 슬립,'샤이닝' 테마파크에서 주마간산.,2.5,174
왓 데이 해드,치열하고 치밀한 작법(생의 미로-비티와 세 개의 열쇠).,3.5,74
터미네이터: 다크 페이트,제임스 카메론이 연출하지 않는 한 이제 터미네이터2에 필적하기는 어차피 어려울 터이니.,3.0,236
하이 라이프,고삐 풀린 상상력과 대담한 작법으로 비틀어낸 에덴의 어두운 저편.,4.0,181
"오늘, 우리",2019년은 재능 있는 여성 감독들의 진입이 두드러진 해.,3.0,409
날씨의 아이,"맥없이 재활용하는 전작의 모티브들, 심지어 단점까지도.",2.5,594
경계선,"잊지 못할 만큼 강렬하고 전복적이며, 그 어떤 영화와도 다르다.",5.0,563
82년생 김지영,영화의 안과 밖을 폭넓은 공감으로 연결하는 전형적 사례모음집.,3.0,693
퍼펙트 스트레인저,오리지널에 거의 다 있었구나.,3.5,120
버티고,발이 빠지지 않는 자기연민의 수렁.,2.0,103
제미니 맨,기술이 빛을 받을수록 짙어지는 이야기의 낡은 그림자.,2.0,131
조커,와킨 피닉스가 등장할 때마다 강력한 영화적 중력으로 공간들이 휘는 듯 느껴진다.,4.5,1453
트루 시크릿,스스로의 가면을 손가락으로 가리키며 휘청휘청 걷기.,3.5,94
원스 어폰 어 타임... 인 할리우드,참혹한 가십의 세계에 박제됐던 한 인물을 영화에 대한 꿈과 사랑이 넘쳤던 영화인의 자리로 옮긴다.,4.0,1318
메기,러닝타임 내내 분수처럼 솟구치는 재기 가득한 아이디어들.,3.5,687
더 룸,이젠 피조물이 아니라 창조주의 위치에서 인류가 직면하게 된 딜레마를 강렬하게 폭주하며 다룬다.,3.5,168
미드 90,넘어지고 부딪치면서 배워간 어린 날들에 대한 낭만적 회고담.,3.0,252
블러드 심플,오해와 무지의 유혈극. 코언형제의 스타일과 세계관은  처음부터 완성태였다.,4.0,209
예스터데이,야망을 줄인 채 비틀즈가 존재하는 세상에  시종 유쾌하게 감사드린다.,3.0,240
애드 아스트라,이 망망한 우주와 이 막막한 인생에서 무(無)를 어떻게 견딜 것인가.,4.5,1030
언더 더 실버 레이크,더욱 격렬하게 아무 것도 안하고 싶은 덕후의 음모론 몽상.,3.0,110
틴 스피릿,엘르 패닝만큼은 빛을 발하지만.,2.0,83
벌새,한 시절이 남긴 상흔을 일일이 가만가만 쓸어내린다.,4.0,900
우리집,슬픈 이야기인데도 결국 근심을 거두고 응원을 보태게 된다.,3.5,395
봉오동 전투,강렬하게만 붓질하느라 정작 인물들 얼굴 그리는 것을  잊었다.,2.0,562
엑시트,감정적 찌꺼기를 남기지 않은 채 할 수 있는 것에 집중한 빅시즌 영화의 힘.,3.0,1202
누구나 아는 비밀,알게 된 것과 그 결과 행하게 된 것의 관계가 바로 그 사람이다.,3.5,176
데드 돈 다이,좀비영화인데도 물에 물 탄 듯.,2.5,152
사자,장르에 대한 판단착오.,2.0,282
지구 최후의 밤,점멸하는 기억과 발광하는 꿈이 함께 서식하는 신비로운 세계.,5.0,397
나랏말싸미,하고자 하는 이야기를 또렷이 한다.,3.0,136
돈 워리,자기연민의 밀실에서 나오는 법.,3.0,152
라이온 킹,원작을 고스란히 재창조한 데서 엿보이는 건 원형적이고 신화적인 이야기에 대한 자신감.,3.0,287
미드소마,미지가 아닌 기지에 대한 공포. 당신은 진짜 두려운 게 뭔지 이미 알고 있다.,4.5,864
스파이더맨: 파 프롬 홈,서로 다른 단계와 설정들 사이를 활공하면서 거미줄처럼 엮는 데에는 스파이더맨이 제격.,3.0,369
갤버스턴,작법의 빈약함은 감정이 진할수록 더 두드러지기 마련.,2.5,96
칠드런 액트,불꽃을 일으켜놓고도 그 빛이 두려워 뒷걸음질친 자의  기울어진 어깨.,3.5,262
13년의 공백,눈물에 웃음을 조화시키기가 이렇게나 어렵습니다.,2.0,85
한낮의 피크닉,"따로 또 같이, 어떻게 살아갈 것인가에 대한 청춘의 생생한 모색.",3.0,85
마담 싸이코,탄성과 소름을 함께 안기는 이자벨 위페르의 그 발놀림.,3.0,273
비스트,시종 힘을 주다가 결국 무너지는 영화를 보았다.,1.5,124
스트롱거,'좌절을 딛고 일어서는 휴먼 드라마'의 낯익은 감동.,2.5,68
토이 스토리 4,4편까지 전부 다 훌륭한 시리즈를 마주하는 놀라움.,4.0,1347
행복한 라짜로,부활로도 구원을 선물할 수 없는 세상의 쓸쓸한 성자 수난극.,3.5,309
해피엔드,'아무르'의 독한 후일담. 뒤에서 볼까 옆에서 볼까.,4.0,140
맨 인 블랙: 인터내셔널,한때 쿨했던 기획이 이젠 어떻게 해도.,2.0,192
체 게바라: 2부 게릴라,허망한 종착점 때문에 더 또렷해지는 체 게바라라는 태도.,3.0,69
체 게바라: 1부 아르헨티나,인상적인 편린들로 모아낸 체 게바라라는 질문.,3.0,62
엑스맨: 다크 피닉스,이쯤 되면 시리즈의 붕괴.,2.0,430
하나레이 베이,끝없이 밀려왔다 물러가는 파도처럼.,3.0,104
기생충,상승과 하강으로 명징하게 직조해낸 신랄하면서 처연한 계급 우화.,4.5,3338
고질라: 킹 오브 몬스터,이 시리즈에선 이제 인간 캐릭터들은 안 나오게 해주세요.,2.0,409
김군,'김군'의 발원지를 찾아 거슬러 올라가다 마주하게 된 '김군들'의 바다.,4.0,259
알라딘,별로 끌리지 않아도 막상 접해보면 또 그럭저럭 괜찮게 느끼도록 만드는 디즈니의 공정관리.,3.0,1559
돈키호테를 죽인 사나이,마침표 찍기를 끝없이 미루는 필생의 프로젝트.,3.0,99
서스페리아,부끄러움 모르는 이전 세대 권력을 학살하다.,3.5,280
논-픽션,"두 방식 사이에서 모순으로 서성이는 책, 사랑, 영화, 세계의 지금이곳.",4.0,148
벤 이즈 백,가족 안에서만 느낄 수 있는 미묘한 공기를 잘 살려냈다.,3.0,116
라플라스의 마녀,설명만 계속 늘어놓다가 후루룩 뚝딱 영화 한 편.,1.5,133
걸캅스,진부한 작법이 흥미로운 설정의 잠재력을 고갈시킨다.,2.0,794
굿바이 마이 러브NK: 붉은 청춘,평생을 결정지은 젊은날의 결기와 서로에게 운명일 수밖에 없었던 깊은 우정.,3.5,88
어벤져스: 엔드게임,팬들과 함께 추억의 앨범을 하나하나 넘긴 끝에 전하는 우정 가득한 송사.,3.5,2508
굿 윌 헌팅,"잠시 떠올리기만 해도 거의 주술적인 위로를 받을 것 같은 로빈 윌리엄스의 뭉클한 그 목소리, ""네 잘못이 아니야.""",3.5,333
러브리스,"모든 게 다시 멈춰선 이제, 어디로 갈 것인가.",4.0,74
스탈린이 죽었다!,공포가 만들어낸 해프닝 코미디의 신랄함. 모두가 모두를 날아오르게 하는 연기 앙상블.,4.0,143
퍼스트 리폼드,통증 없는 중병의 시대에 먼저 앓고 대신 아픈 자가 써내려간 몸의 일기.,4.5,376
미성년,뛰어난 배우의 감독 데뷔작에 기대하는 장점들이 고스란히.,3.5,551
헬보이,'디센트'의 닐 마셜을 기대했지만 괜찮은 것은 크리처 디자인 뿐.,2.0,155
