제목,내용,평점,좋아요 수
사일런스,침묵이 부재는 아니다. 그리고 흔들리는 불빛 역시 어둠을 밝힌다.,3.5,602
로건,"'울버린' 시리즈 전체에 대한 느낌까지 완전히 바꿔버린 장중하고 멋진 마무리. (진작에, 쫌!)",4.0,1985
싱글라이더,좋은 시선과 좋지 않은 구조.,2.5,323
문라이트,잔물결 소리에 귀기울이는 사람은 무슨 일이 있어도 절망하지 않으리. (헨리 데이빗 소로),4.5,1823
23 아이덴티티,샤말란 영화의 힘은 언제나 (반전이나 효과가 아니라) 정서.,3.0,694
핵소 고지,양두구육. 내세우는 주제와 달리 하드고어적 표현에 도취되어 있다.,2.5,412
맨체스터 바이 더 씨,심리적 진실의 흐름을 섬세하게 짚어가는 플롯과 연기.,4.0,611
조작된 도시,폭주의 동력을 위해서라면 스토리 쯤이야.,2.5,250
50가지 그림자: 심연,결국 속편까지 챙겨본 내 인내심에 한탄하며.,1.0,710
퍼스널 쇼퍼,보이지 않는 것을 기어이 보아내려는 인간의 폐허. 보일 수 없는 것을 기필코 보여주려는 영화의 성취.,5.0,821
사랑의 시대,사랑의 시대라는 위선. 이상적 공동체라는 억압.,3.0,144
라이언,구글은 사랑을 싣고.,3.0,323
컨택트,한번도 들어본 적 없는 이야기. 지적인 긴장감으로 내내 팽팽하다.,5.0,3083
재키,기억은 의지의 산물. 무엇을 어떻게 기억할 것인가.,3.5,325
더 킹,블랙코미디의 경공술로 한국현대정치사를 타고 술술 흐른다.,3.0,970
공조,두 인물간 소통과 상황에 내내 몰입이 안 되는데 막판 액션이 다 무슨 소용.,2.0,796
얼라이드,"매끈한 만듦새에도 불구하고, 미스터리를 막판까지 유지하려다보니 힘이 빠져버린 멜로 감성.",3.0,369
어쌔신 크리드,과거 장면들과 현재 장면들의 배분에서부터 실패.,2.0,194
녹터널 애니멀스,강렬한 이미지와 조마조마한 스릴 끝에 매달려 있는 기이한 정적.,3.5,537
여교사,인상적인 설정과 생생한 전개를 빈약한 치정극으로 끝맺는다.,3.0,291
너의 이름은.,갈라지는 것들의 파괴력과 이어지는 것들의 치유력. 이 영화가 주는 감동의 태반은 끝내 연결하려는 안간힘에서 온다.,3.5,2174
로그 원: 스타워즈 스토리,신화가 된 시리즈를 일신하려는 신선한 접근.,3.0,256
해리가 샐리를 만났을 때,여전히 로맨틱 코미디 장르를 대표하는 사랑스런 이름들.,4.0,750
블루 벨벳,시각의 불신과 청각의 맹신. 데이빗 린치가 들려주는 극악무도하면서도 순진무구한 성장영화.,4.0,255
마스터,대사와 캐릭터 마사지에 몰두하느라 놓쳐버린 극의 리듬과 긴장감.,2.5,512
위켄즈,"벽을 넘어서, 유쾌하고도 강인하게.",3.0,91
내 심장이 건너뛴 박동,"폭력의 세계와 예술의 세계, 아버지의 세계와 어머니의 세계, 담배의 세계와 차의 세계, 떠나야 할 세계와 떠나온 세계, 살고 있는 세계와 살고 싶은 세계, 설명해야 하는 세계와 설명이 필요 없는 세계, 임기응변의 세계와 학습의 세계. 
한 세계의 문을 닫고 다른 세계의 문을 열기 위해서 치러내야 하는 것들.",4.0,347
"당신, 거기 있어줄래요",개성과 매력을 발견하기 어려울 정도로 그저 흘러간다.,2.0,312
시카고,세상 모든 게 그저 쇼일 뿐이라고 말하는 얼음장 같은 복화술.,4.5,1077
판도라,이 뻔한 재난영화에 소름끼치는 현실감을 불어넣는 한국사회.,2.0,744
비치온더비치,시종 경쾌하게 톡톡 튀는 캐릭터는 인상적.,2.5,87
라라랜드,달콤쌉싸름한 그 모든 감정에 화룡점정하는 마법 같은 순간.,5.0,5406
"나, 다니엘 블레이크",간명하고도 강력한 켄 로치의 목소리가 주는 감동. 복지는 시혜가 아니라 권리.,3.5,1259
잉글리쉬 페이션트,"이집트에서 독일인으로 오인된 헝가리인이 이탈리아에서 캐나다인에게 치료받으며 영국인 환자가 된 아이러니에 담긴, 전쟁 같은 사랑.",4.0,220
미씽: 사라진 여자,여성에 대한 억압과 편견을 정면 응시한다.,3.0,934
형,배우들만 허리가 휘는 이런 공식.,2.0,342
테일 오브 테일즈,동화에서 당의를 벗겨내면 기괴하게 드러나는 욕망.,2.5,118
줄리에타,"그때는 몰랐다고, 이제는 잊었다고, 외면할 수 없는 것들에 대하여.",4.0,314
연애담,사랑을 고스란히 앓는 이상희의 깊은 표정들.,3.0,334
신비한 동물사전,선하고 온화하며 안정적인 초석을 새 시리즈에 놓았다.,3.5,1014
가려진 시간,"내가 나라는 것을 믿어주는 단 한 사람,이라는 판타지.",3.0,675
당신자신과 당신의 것,앎이 사랑의 전제가 아니라는 것. 둘러싸고 있는 것들로 말할 순 없다는 것.,3.5,367
로스트 인 더스트,자본의 탐욕에 떠밀려 사라져가는 세계에 대한 쓸쓸한 만가.,4.5,683
본 아이덴티티,기진맥진해진 스파이 액션 장르에 신선한 피를 수혈하다.,3.5,321
플란다스의 개,봉준호는 시작부터 빛났다.,4.0,468
엑스맨: 최후의 전쟁,무능을 감추기 위한 물량공세.,2.5,194
엑스맨 2,엑스맨 시리즈의 이상.,4.5,253
엑스맨,수퍼히어로 장르가 깊이를 갖추게 된 계기.,4.0,327
공동경비구역 JSA,한국영화계에 이른바 '웰메이드 무비'의 기준을 제시하다.,4.0,681
복수는 나의 것,탁월한 예술가가 아이러니를 다루는 방법.,5.0,1120
스네이크 아이즈,신기에 가까운 오프닝 롱테이크.,3.0,81
모베터 블루스,일단 떠올리기만 하면 입과 뇌에서 끝도 없이 리플레이되는 그 선율.,3.0,52
사랑의 행로,미셸 파이퍼와 제프 브리지스의 화양연화.,4.0,99
길버트 그레이프,떠나기 전에 해결해야 할 것들.,4.0,316
괴물,바로 이런 게 벗어날 수 없는 지옥의 풍경.,5.0,337
화성 침공,'인디펜던스 데이'의 반대말.,4.0,173
라이언 일병 구하기,그 후에 나온 수많은 전쟁영화들의 컴플렉스.,4.5,668
우주전쟁,전율을 불러 일으키는 스필버그의 염세적 비전.,4.5,343
컬러 퍼플,한 세계에서 모든 것을 성취한 자가 또다른 세계를 바라볼 때의 동경과 조바심.,3.5,92
레이더스,흡사 시간을 훔쳐가는 마술사처럼.,4.5,190
캐치 미 이프 유 캔,잡을 수 없을 정도로 경쾌하게 달아나는 스필버그의 경공술.,3.5,312
쥬라기 공원,특수효과의 역사에 또렷이 남은 거대한 족적.,4.0,292
인디아나 존스: 마궁의 사원,"세상에 이렇게 재미있는 영화가 있나, 싶었다.",4.5,278
디스턴스,묻고 또 물었던 고레에다 히로카즈.,3.5,72
원더풀 라이프,운명처럼 다가오는 영화가 있다.,5.0,960
아무도 모른다,야기라 유야의 칸영화제 남우주연상 수상조차 감독의 공.,4.5,493
니모를 찾아서,애니메이션에서 캐릭터를 어떻게 만들 것인가에 대한 픽사의 자신만만한 대답.,4.5,343
인어공주,음악과 뮤지컬 장면에 관한 한 역대 디즈니 애니메이션 중 최고.,4.5,390
그랑블루 리마스터링 감독판,바다라는 낭만과 바다라는 공포.,3.5,177
반칙왕,김지운과 송강호가 함께 빚어낸 잊지 못할 유머와 페이소스.,4.0,149
"장화, 홍련",이미지와 이야기에 선명하게 투영된 꽃이라는 모티브.,3.5,230
매트릭스 2 - 리로디드,전편의 거대한 성공이 독이 된 경우.,2.5,145
매트릭스,"현대의 창의성은 무에서 유를 창조하는 것이 아니라, 비범하게 선택해서 독창적으로 배열하는 능력.",5.0,1361
4월 이야기,시작하는 순간들의 설렘으로 온통 반짝이는.,3.5,340
릴리 슈슈의 모든 것,이와이 슌지의 작품들 중 단 한 편만 고르라면.,5.0,601
밀리언 달러 베이비,흥미만점의 스포츠영화. 탁월한 휴먼드라마.  강력한 사회드라마.,5.0,560
에드 우드,"천재 감독 오슨 웰즈든 최악의 감독 에드 우드든, 누구나 제몫의 전투를 힘겹게 치르고 있다는 것.",4.0,184
여고괴담 두번째 이야기,살육으로 붉지 않고 슬픔으로 하얀 공포영화. 기이하도록 아름답다.,4.0,242
패닉 룸,한정된 공간의 알뜰한 활용.,3.5,243
더 게임,데이빗 핀처가 관객과의 게임을 얼마나 즐기는지 보여주는 증거.,3.0,116
세븐,아이들을 낳아 키울 수 있을 만한 세상인가. 아니오. 아니오. 아니오. 아니오. 아니오. 아니오. 아니오.,4.0,834
에이리언 3,데이빗 핀처는 처음부터 고분고분하지 않았다.,3.0,151
라우더 댄 밤즈,한없이 낮은 숨결로 상실을 앓다.,3.0,189
닥터 스트레인지,역동적이고 창의적인 시각 디자인.,4.0,1148
벨빌의 세 쌍둥이,애니메이션에서 움직임이 의미하는 것.,4.0,148
마터스,그냥 불쾌하기만 할 뿐.,1.0,82
비틀스: 에잇 데이즈 어 위크 - 투어링 이어즈,"그때 그 시절의 비틀스, 그때 그들 각자의 비틀스, 지금 나만의 비틀스.",3.0,186
비바,낮고 익숙한 고개들을 넘어가며 부르는 인생찬가.,2.5,54
미스 페레그린과 이상한 아이들의 집,"안온한 유년의 낙원을 허물고, 팀 버튼, 바깥 세상으로.",3.5,300
자백,"그러니까 지난 40년간 달라진 게 없다는 것.   ""한국은 나쁜 나라""라는 김승효씨의 한서린 일갈에 변명하거나 위로할 말을 떠올릴 수 없어 더욱 참담해진다.",3.5,568
죽여주는 여자,"삶의 방식이나 선택에 대한 문제가 아니라, 삶의 전제나 권리에 대한 문제.",3.5,558
디시에르토,장편영화로 완성할 아이디어와 에너지가 부족하다.,2.5,68
맨 인 더 다크,캐릭터와 공간의 한정된 설정을 깨알 같이 활용한다.,3.5,492
설리: 허드슨강의 기적,살만한 사회를 만드는 것은 결국 저마다의 직업윤리.,4.0,1465
다가오는 것들,달콤하고 쉬운 해결책에 눈길조차 주지 않는 영화가 주는 신뢰.  무소의 뿔처럼 혼자서 가는 자의 위엄이 주는 감동.,4.5,725
아수라,독기와 깡으로 으르렁대는 수컷들의 힘자랑을 그려내는 진하고도 낡은 정서.,2.5,566
카페 소사이어티,그 어떤 뒤틀린 궤적도 세월이 흘러 뒤돌아보면 자신에겐 언제나 동화.,3.0,1173
벤허,영혼도 없고 아이디어도 없는 리메이크.,2.0,214
밀정,뜨거워지는 것을 본능적으로 경계하는 김지운의 성향과 뜨거워질 수밖에 없는 소재의 특성 사이에서 벌어지는 흥미진진한 줄다리기.,3.5,1146
거울나라의 앨리스,요란한 시각효과로도 끝내 도달하지 못한 그 세계.,2.0,206
"고산자, 대동여지도",부분적으로 아름답고 전체적으로 밋밋하다.,2.5,269
사랑과 어둠의 이야기,오로지 감정으로만 환원되어버린 이야기.,2.0,73
이레셔널 맨,용두사미의 화술.,2.5,102
칠드런 오브 맨,탁월한 양식에 선명하게 깃든 신성.,4.5,836
달콤한 인생,운명 속으로 또각또각 걸어들어가는 자의 고독과 결기를 고스란히 살려낸 김지운의 명품.,4.5,668
히치콕 트뤼포,히치콕이라는 거대한 수수께끼. 그 수수께끼를 숙고하며 영화의 본성을 응시하려는 감독들.,3.5,266
최악의 하루,그 하루의 끝에서 주문(呪文)처럼 불러들인 해피엔드의 마법.,4.0,867
서울역,"지하도와 여관에서 모델하우스까지, '집' 없는 도시의 서늘한 호러.",3.0,474
마일스,혼돈을 에너지로 끌어들이려다 영화 자체가 흔들린 경우.,2.5,104
국가대표2,후반 경기장면의 생생한 촬영과 자매의 눈물나는 이야기가 다 쓰러져가는 영화를 간신히 지탱한다.,2.0,207
터널,담백하고 탄력있는 연출. 설정마다 능수능란한 하정우. 그리고 부도덕하고 부실한 시스템이라는 악마에 대하여.,3.5,1281
비거 스플래쉬,보고나니 TLC의 앨범 제목 'CrazySexyCool'이 떠오른다.,3.5,209
덕혜옹주,기품있는 드라마. 손예진의 경력 최고 연기.,3.0,702
수어사이드 스쿼드,손안에 쥔 것의 진짜 매력을 모르는 듯한 제작진.  쿨하고 도발적이어야 할 영화를 칙칙하고 엉뚱하게 끌고 간다.,1.5,1564
태풍이 지나가고,꿈이 이뤄지지 않았다고 삶이 실패한 건 아니에요.,3.5,914
인천상륙작전,"지리멸렬 첩보영화, 주마간산 전쟁영화.",1.0,773
제이슨 본,시리즈의 핵심을 흥미롭게 변주하는 화려한 팬 서비스.,3.5,700
부산행,'열어주지 않는 문'의 공포. 넘치는 에너지와 호쾌한 스피드를 만끽하고도 결국 남는 것은 처연함.,3.5,1316
데몰리션,시종 빛나는 제이크 질렌할.,3.0,543
에브리바디 원츠 썸!!,무목적성이야말로 유희의 핵심. 정말 원없이 넋놓고 논다.,3.5,320
환상의 빛,시간의 소금기가 배어 있는 장면들. 오래도록 메아리치는 질문들.,4.0,540
도리를 찾아서,본능적인 가족애보다 약점을 서로 보완해주는 우정이 더 인상적.,3.5,872
사냥,"""그 산에 오르지 말았어야 했다""는 메인 카피가 자꾸 생각난다.",1.5,444
인디펜던스 데이: 리써전스,롤랜드 에머리히의 사반세기 외길 인생.,1.5,252
비밀은 없다,모두가 어울리지 않는 옷을 입고 참석한 행사처럼.,2.0,276
우리들,"절실하고 간절해도 계속 관계에서 미끄러지는 아이들, 그들, 우리들.",4.5,1697
특별수사: 사형수의 편지,한국 스릴러 영화들이 애용하는 편리하고도 뻔한 해결 방법.,2.5,210
백엔의 사랑,뻔한 말로 위로하는 대신 힘주어 손잡아주기.,3.0,259
정글북,'보이지 않는 CG'의 위엄.,3.5,469
본 투 비 블루,쳇 베이커의 지독한 삶과 황홀한 음악 사이 괴리를 달콤쌉쌀하게 메운다.,3.5,581
초인,영화가 끝나면 책을 펴고 싶어진다.,2.5,135
아가씨,시종 킬킬대게 만드는 검은 유머와 흥미롭게 비틀린 회색 플롯 사이를 경쾌하게 질주하는 붉은 감정.,4.0,2250
엑스맨: 아포칼립스,성실하고 세심한 모범생 블록버스터.,3.5,538
싱 스트리트,사랑스러운 범작. 사내 아이들에게 락밴드란.,3.0,970
사돈의 팔촌,이런 소재를 이렇게 풋풋하게.,3.0,149
클랜,악마적인 인물들도 종종 주변에선 호인으로 여겨진다지.,4.0,231
곡성(哭聲),그 모든 의미에서 무시무시하다.,5.0,3587
4등,사랑의 매는 없다. 폭력은 그저 폭력일 뿐.,4.0,944
캡틴 아메리카: 시빌 워,익숙함과 새로움 사이의 절묘한 균형감각.,4.0,1336
브루클린,멜로 속에 들어앉은 성장영화의 곧은 시선.  수처작주 입처개진(隨處作主 立處皆眞).,4.0,721
시간이탈자,구슬이 서 말이라도 꿰어야 보배.,2.0,219
주토피아,현실의 문제를 더욱 또렷하게 드러내는 잘 만든 우화의 탄력.,3.5,889
해어화,화려하고 비장하지만 부담스러운 옛 창법처럼.,2.5,320
러시: 더 라이벌,'러시'라는 본제목과 '더 라이벌'이라는 부제 모두에 제대로 부합한다.,4.0,319
내 마음의 풍금,"지나갔기에 애틋하게 떠올려지는 그 시절, 그 사랑.",3.0,185
스틸 플라워,희망과 생명을 담기 위해선 부득불 가혹한 수난을 안겨야 할까.,2.5,125
배트맨 대 슈퍼맨: 저스티스의 시작,이토록 값비싸고 희한한 사모곡.,2.5,647
아노말리사,사랑의 시작과 끝은 모두 자신의 고독을 발견할 때 당황하는 것으로 드러난다. (라 브뤼에르),4.5,852
너는 착한 아이,"닫힌 문 뒤의 아동학대, 그 문을 열기 위한 간절한 노크.",3.0,170
"헤일, 시저!",(확신에 찬 거대한 신념에 등돌리고 선 채) 영화가 주는 작고 보잘 것 없는 위안 앞에서 고개를 끄덕이며 고백하는 코언형제.,4.0,474
살인의 추억,한국영화계가 2003년을 자꾸 되돌아보는 가장 큰 이유.,5.0,2140
조이,구심력을 상실한 에너지.,3.0,222
펀치 드렁크 러브,풍금소리처럼 포근하고 펀치드렁크처럼 얼얼하다. 정말 희한한 사랑영화의 마력.,4.5,930
굿바이 버클리,그들의 이야기와 음악이 영화로 옮겨지길 기다려왔건만.,2.5,68
갓 오브 이집트,이집트는 할리우드의 무덤.,1.5,383
룸,"브리 라슨의 3년 후, 제이콥 트렘블레이의 15년 후가 무척 궁금하다.",4.0,764
귀향,역사에 대한 울분. 영화에 대한 한숨.,2.0,1847
사울의 아들,"미칠 것 같은, 미치고 싶은, 미쳐지지 않는, 미칠 수 없는.",5.0,1209
스포트라이트,'모두가 대통령의 사람들'과 함께 오래도록 거론될 모범적 언론영화.,4.5,1605
동주,다 보고나니 눈과 귀를 맑은 물에 헹군 듯하다.,3.5,2229
대니쉬 걸,에디 레드메인의 경력 최고 연기.,3.0,763
검사외전,배우의 매력으로 가린 허점.,2.5,1838
자객 섭은낭,마음을 어떻게 담을 것인가. 아름다움을 어떻게 품을 것인가.,4.0,301
쿵푸팬더 3,팬더가 주인공인 애니메이션 시리즈의 힘. 심지어 이번엔 팬더들.,3.0,280
개를 훔치는 완벽한 방법,귀여운 유머와 사려깊은 결말이 함께 담긴 동화.,3.5,495
가족시네마,"드물게도, 수록작품들이 모두 좋은 한국 옴니버스 영화.",3.5,426
아버지의 초상,도덕적 인간과 비도덕적 사회. 그래도 물러설 수 없는 지점에 대하여.,3.5,301
스티브 잡스,흡사 펜싱선수처럼 현란한 아론 소킨의 극작술.,3.5,641
캐롤,멜로드라마의 역사가 장르에 내린 햇살같은 축복.,5.0,3252
빅쇼트,한국영화에서 가장 찾기 힘든 종류의 재능.,4.5,2041
레버넌트: 죽음에서 돌아온 자,"""여기까지겠지"" 싶은 지점에서 한참 더 들어간다. 정말 끝까지 간다.",3.5,2298
헤이트풀8,"미스터 블랙을 새롭게 데리고, 처음으로 화끈하게 되돌아간 타란티노.",3.5,656
유스,"(""감정이 전부야""라는 극중 대사처럼) 너무나도 유려하고 지독히도 감상적.",3.0,585
에브리띵 윌 비 파인,인물로부터 미끄러지는 아름다운 풍광.,2.5,107
조선마술사,"한 해의 끝에서, 액땜으로 여길 듯한 영화를 보았다.",1.5,1010
바닷마을 다이어리,업의 무거운 사슬 속에서도 인연의 선한 고리를 늘려가는 사람들이 주는 감동.,3.5,1414
스타워즈: 깨어난 포스,(야심가가 아니라) 모범생이 만든 완성도 높고 안정적인 속편. 오래된 시리즈를 튼튼하고 맵시있게 보수해서 새롭게 발진시킨다.,3.5,854
레전드,톰 하디의 화려한 1인2역만 보인다.,2.5,529
히말라야,도통 터지지 않는 웃음. 맺히자마자 얼어붙는 눈물.,2.0,924
대호,느리지만 진한 설득.,3.0,567
미스트리스 아메리카,'프란시스 하'에 그대로 이어지는 듯한 '프란시스트리스 아메리카'.  노아 바움백과 그레타 거윅의 협업을 시리즈처럼 계속 보고 싶다.,3.5,491
하트 오브 더 씨,바닥이 보이지 않는 심연을 마주한 자들의 운명.,3.5,337
맥베스,대지를 붉게 적시는 안개와 바람의 파토스.,4.0,637
트립 투 잉글랜드,여행이 끝나도 여전히 남아 있는 삶의 문제들.,3.0,150
시카리오: 암살자의 도시,이런 게 바로 내내 멱살잡고 끌고가는 영화.,4.5,1801
괴물의 아이,세심하게 일구는 호소다(細田)와 굳건하게 버티는 마모루( 守)의 어깨동무.,3.0,595
당신의 세상은 지금 몇 시?,열쇠 같은 건 필요 없어요. 문이 활짝 열려 있으니까요.,3.0,169
내부자들,적나라하고 자극적인 효과 자체에 사로잡혀 있다.,2.5,1072
007 스펙터,007 시리즈와 가족영화의 부정교합.,2.5,601
검은 사제들,모험적 시도에 스타파워가 제대로 기여한 경우.,3.0,1183
와즈다,힘차게 첫 페달을 밟은 그녀(들)에게 축복을!,3.5,203
친절한 금자씨,흡사 윤리학적 실험실 같은 강렬한 설정에 담긴 딜레마.,4.5,1129
스파이 브릿지,누군가가 존경스러운 것은 결국 신념의 내용이 아니라 형식 때문.,4.0,720
더 기프트,'올드보이'를 지탱했던 모티브들의 흥미로운 변용.,3.5,199
더 랍스터,사랑은 시스템과 충돌한다는 것. 광장에서든 밀실에서든.,4.0,1374
더 폰,마치 문제를 해결하기 싫어서 일부러 엉뚱한 행동을 하는 사람들처럼 보인다.,2.0,581
하늘을 걷는 남자,어느 순간부터 눈이 아니라 오금으로 영화를 보게 된다.,3.5,825
디판,그곳이 어디라도.,3.0,56
빽 투 더 퓨쳐 3,이 시리즈가 몇 년 내로 리부트될 거라는 데에 1만원 겁니다!,3.0,313
빽 투 더 퓨쳐 2,시간여행 테마의 다양한 용처.,3.0,143
빽 투 더 퓨쳐,30주년인 2015년에서 다시 30년이 더 지나서 봐도 여전히 흥미진진할 듯.,4.0,554
리그레션,애쓴 배우들에게 박수를.,2.0,93
더 비지트,(일단) 수렁에서 빠져나온 샤말란.,3.0,163
라이프,아스라이 썰물이 되는 잔물결들.,3.5,290
페이스 오프,할리우드에서도 철저히 오우삼적이어서 성공한 오우삼.,3.5,196
8월의 크리스마스,지난 20년간 한국 멜로는 결국 허진호였다.,4.5,1383
봄날은 간다,"허진호와 이영애와 유지태, 그들 각자의 최고작.",5.0,1264
더 홈즈맨,"(서쪽에서 동쪽으로 이동방향을 바꾸고, 남성 대신 여성을 중심에 놓고서) 토미 리 존스가 거꾸로 써낸 의미심장한 서부극.",3.5,89
슬로우 웨스트,살의와 냉소로 가득한 서부를 선명하게 가로지르는 동화.,4.0,438
탐정 : 더 비기닝,웃음이 나다가도 멈칫멈칫하게 된다.,2.5,388
서부전선,단편에 맞을 상황극을 장편으로 만들다보니.,2.0,180
지금은맞고그때는틀리다,"홍상수, 지금도옳고그때도옳다.",4.5,937
메이즈 러너: 스코치 트라이얼,스피드와 규모를 키우고도 전편을 능가하지 못하는 허다한 속편들의 미로.,2.5,603
마션,하나를 위한 전체.  세상에서 가장 낙천적인 (SF)재난영화.,4.0,2491
사도,"천둥 같은 분노가 아니라 이슬 같은 무력감.  (영조는 사도를 아들이기에 앞서 세자로 여겼고, 사도는 영조를 왕이기에 앞서 아버지로 생각했다는 것.)",3.5,3225
앙: 단팥 인생 이야기,가와세 나오미 특유의 관념적 감상주의를 줄였더라면 더 좋았을텐데.,3.0,183
피케이: 별에서 온 얼간이,선명한 메시지를 요란한 코미디에 담았다.,2.5,143
뷰티 인사이드,영완얼?,2.5,3162
침묵의 시선,이제 그만 잊자는 자들의 광란.  끝내 잊을 수 없는 이들의 탄식.,4.0,454
이민자,기품 넘치는 정조와 질감만으로도 모든 것을 납득시킨다.,4.5,487
판타스틱 4,수퍼히어로 장르의 밑바닥.,1.0,467
미라클 벨리에,딸의 성장영화라기보다는 부모의 성장영화.,3.0,542
미니언즈,귀여운 캐릭터만으로는 부족할 수밖에.,2.5,330
블러바드,로빈 윌리엄스의 그 사람좋은 미소 뒤에 감춰졌던 쓸쓸한 그림자.,3.0,160
위로공단,사실적인 인터뷰와 환상적인 이미지.  그중에서도 가장 인상적이었던 것은 담담히 증언하는 강명자씨의 표정과 어투가 주는 감동.,3.5,133
나의 어머니,가장 슬픈 순간에도 일을 해야만 할 때 찾아오는 이상한 위로,3.5,100
"협녀, 칼의 기억",절대사랑의 관념성에 내내 붙들려 있어 옆을 보지 못한다,2.5,157
쉘로우 그레이브,대니 보일은 처음부터 반짝반짝했다,4.0,220
엔드 오브 데이즈,End  of  his  days        (이 영화 이후 아놀드 슈워제네거가 출연한 재미있는 영화를 본 기억이 없다.),1.0,101
닥터 봉,한석규의 데뷔작이자 그해 한국영화 흥행 1위작. (그냥 그랬다구요!),3.0,89
